entry_date,signal_date,n_positions,symbols,avg_clone_score,avg_rules_fired
2025-09-23,2025-09-22,15,"ADANIPOWER,HINDCOPPER,IDEA,ANANTRAJ,POONAWALLA,NETWEB,REDINGTON,ADANIENSOL,ATHERENERG,USHAMART,ATGL,MMTC,KPRMILL,GRSE,ADANIGREEN",163.08235792767243,48.733333333333334
2025-09-24,2025-09-23,15,"ATGL,ADANIPOWER,NETWEB,ADANIGREEN,IDEA,ADANIENSOL,GMDCLTD,ANANTRAJ,HINDCOPPER,SPLPETRO,TATAINVEST,USHAMART,TRAVELFOOD,ADANIENT,NLCINDIA",181.52767674340353,54.06666666666667
2025-09-25,2025-09-24,15,"GMDCLTD,ADANIPOWER,TATAINVEST,ATGL,ADANIGREEN,ANANTRAJ,NETWEB,SPLPETRO,MINDACORP,IDEA,HINDCOPPER,ADANIENSOL,NLCINDIA,JINDALSAW,PARADEEP",172.53361166595744,54.86666666666667
2025-09-26,2025-09-25,15,"TATAINVEST,HINDCOPPER,PARADEEP,GRSE,NETWEB,BELRISE,MINDACORP,CARTRADE,IDEA,GMDCLTD,PTCIL,SYRMA,SPLPETRO,TBOTEK,NLCINDIA",160.34750778591763,50.8
2025-09-29,2025-09-26,15,"TATAINVEST,ANANTRAJ,NETWEB,HINDCOPPER,PARADEEP,CRAFTSMAN,ADANIPOWER,SPLPETRO,CHENNPETRO,PTCIL,USHAMART,IDEA,AUBANK,ONESOURCE,HBLENGINE",175.0345368774955,48.6
2025-09-30,2025-09-29,15,"NETWEB,SAMMAANCAP,TATAINVEST,ANANTRAJ,GODFRYPHLP,HINDCOPPER,BAYERCROP,WOCKPHARMA,USHAMART,PTCIL,PARADEEP,POONAWALLA,REDINGTON,TRAVELFOOD,ZYDUSWELL",149.16400276014215,48.06666666666667
2025-10-01,2025-09-30,15,"TATAINVEST,REDINGTON,WOCKPHARMA,SAMMAANCAP,PTCIL,PARADEEP,USHAMART,CONCORDBIO,ANANTRAJ,SCHAEFFLER,HINDCOPPER,GODFRYPHLP,ATHERENERG,NETWEB,ONESOURCE",156.22841334712024,51.46666666666667
2025-10-03,2025-10-01,15,"TATAINVEST,NETWEB,SAMMAANCAP,CPPLUS,HINDCOPPER,NEULANDLAB,PTCIL,AEGISLOG,WOCKPHARMA,POONAWALLA,AEGISVOPAK,ZFCVINDIA,SUNTV,PARADEEP,ADANIPOWER",153.57352988987822,49.6
2025-10-06,2025-10-03,15,"SAMMAANCAP,PTCIL,TATAINVEST,SUNTV,ZFCVINDIA,AEGISLOG,NETWEB,NEULANDLAB,AEGISVOPAK,ADANIPOWER,IDEA,MRPL,ABDL,MRF,ATHERENERG",169.3959274369784,57.06666666666667
2025-10-07,2025-10-06,15,"AEGISLOG,PTCIL,NETWEB,TATAINVEST,NEULANDLAB,POONAWALLA,SAMMAANCAP,IDEA,ABLBL,MRPL,AEGISVOPAK,ATHERENERG,ZFCVINDIA,FORCEMOT,TBOTEK",164.9415415930015,58.13333333333333
2025-10-08,2025-10-07,15,"EMCURE,PTCIL,IDEA,ATHERENERG,TATAINVEST,MRPL,NYKAA,NEULANDLAB,AEGISVOPAK,NETWEB,CPPLUS,RHIM,BSE,ASTERDM,TBOTEK",162.14828274070018,56.0
2025-10-09,2025-10-08,15,"ATHERENERG,IDEA,ITI,NETWEB,NEULANDLAB,HBLENGINE,GABRIEL,ABLBL,CPPLUS,IIFL,PTCIL,MRF,ASTERDM,NYKAA,RHIM",150.73051880865188,50.4
2025-10-10,2025-10-09,15,"ITI,HINDCOPPER,PTCIL,NETWEB,ASTERDM,IIFL,JAINREC,BSE,ATHERENERG,TATAINVEST,NATIONALUM,USHAMART,NEULANDLAB,GRAPHITE,IDEA",150.75234241172282,49.46666666666667
2025-10-13,2025-10-10,15,"PTCIL,NEULANDLAB,ITI,BSE,HINDCOPPER,GMDCLTD,TATACOMM,MCX,JAINREC,YESBANK,REDINGTON,GODIGIT,PGEL,DIVISLAB,ATHERENERG",149.63449865204137,49.06666666666667
2025-10-14,2025-10-13,15,"NEULANDLAB,TATACOMM,PFIZER,MAPMYINDIA,IDEA,PGEL,BSE,THELEELA,YESBANK,PTCIL,BBTC,TATAINVEST,ZFCVINDIA,REDINGTON,DIVISLAB",159.22824963976615,54.13333333333333
2025-10-15,2025-10-14,15,"TATAINVEST,NEULANDLAB,HBLENGINE,BSE,PTCIL,YESBANK,MCX,JUBLINGREA,KFINTECH,PFIZER,ANANDRATHI,TATACOMM,MAPMYINDIA,ANGELONE,FORCEMOT",158.5076431669977,49.333333333333336
2025-10-16,2025-10-15,15,"MAPMYINDIA,PTCIL,JUBLINGREA,TATACOMM,ANANDRATHI,TATAINVEST,MCX,ADANIPOWER,ACUTAAS,PFIZER,NEULANDLAB,ATHERENERG,360ONE,AEGISVOPAK,USHAMART",156.55450097823038,53.86666666666667
2025-10-17,2025-10-16,15,"MCX,TATACOMM,ATHERENERG,AEGISVOPAK,RBLBANK,MAPMYINDIA,DCMSHRIRAM,TATAINVEST,ANGELONE,PTCIL,URBANCO,MRPL,OLAELEC,FORCEMOT,WAAREEENER",147.52336907679455,51.4
2025-10-20,2025-10-17,15,"ATHERENERG,ADANIPOWER,OLAELEC,BLS,ACUTAAS,FORCEMOT,WAAREEENER,WHIRLPOOL,MAPMYINDIA,BBTC,HBLENGINE,NESTLEIND,GODREJPROP,NAVINFLUOR,TATACOMM",147.9674874167027,44.46666666666667
