pattern,symbol,n,avg_d1,bucket,edge_score,stability_score,target,regime,hit_pct,base_pct,real_lift_pp,status,rule,mandate,rule_family,screener_tier
FALCPAT_8545,OLECTRA,8,4.159,2-5%,33.272,11.763428411819405,,,,,,,,,other,ignore
FALCPAT_6905,APARINDS,5,4.153,2-5%,20.764999999999997,9.286390310556627,hit_40pc_40d,capitulation,8.267284477502743,4.0653742907808095,4.201910186721935,PROMOTED,volatility (20d ATR%) >= 3.3478 AND distance from 120-day high <= -28.8011 AND distance from 20-week SMA <= 9.8642 AND distance from 20-week SMA >= -13.6581,"Buy when rule fires; win if +40% within 40d, else exit at horizon. Rs5L account, direction=long.",pullback_from_high|volatility_expansion,ignore
FALCPAT_7297,BHEL,5,4.153,2-5%,20.764999999999997,9.286390310556627,hit_15pc_20d,capitulation,31.286635404454863,17.450644806122114,13.835990598332751,PROMOTED,distance from year-high <= -43.4753 AND distance from 200-DMA <= 24.7508 AND 20d relative strength vs sector >= -5.3304,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",pullback_from_high|relative_strength,ignore
FALCPAT_8622,GODREJIND,3,4.152,2-5%,12.456,7.1914749530259785,hit_25pc_30d,breakout,30.8537616229924,7.722364089468664,23.131397533523728,PROMOTED,volatility (20d ATR%) >= 3.5234 AND close position in weekly range >= 0.7828 AND weekly range % >= 12.8291,"Buy when rule fires; win if +25% within 30d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_strength,ignore
FALCPAT_8546,BIKAJI,3,4.147,2-5%,12.441,7.1828146989881345,hit_40pc_40d,other,10.522548317823908,2.9651372889629943,7.557411028860914,PROMOTED,volatility (20d ATR%) >= 3.4337 AND close position in weekly range <= 0.7802 AND close position in weekly range >= 0.282 AND weekly range % >= 13.9527,"Buy when rule fires; win if +40% within 40d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_strength|weekly_weak_close,ignore
FALCPAT_6467,GODREJIND,7,4.144,2-5%,29.008000000000003,10.963993433051664,hit_25pc_30d,breakout,20.93669378845009,10.722915258072424,10.213778530377663,PROMOTED,volatility (20d ATR%) >= 3.8758 AND 60-day return <= -13.0654 AND 60d relative strength vs market >= -19.0757 AND close position in weekly range >= 0.5112,"Buy when rule fires; win if +25% within 30d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|recent_weakness|weekly_strength|relative_strength,ignore
FALCPAT_9121,GABRIEL,3,4.144,2-5%,12.432,7.177618546565427,hit_15pc_20d,capitulation,43.26241134751773,19.56237142322798,23.700039924289754,PROMOTED,volatility (20d ATR%) >= 3.4326 AND distance from year-high <= -21.3469 AND 60-day return <= -28.0132 AND close position in weekly range <= 0.8244,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",pullback_from_high|volatility_expansion|recent_weakness|weekly_weak_close,ignore
FALCPAT_6223,EIDPARRY,6,4.143,2-5%,24.857999999999997,10.148236004350705,hit_10pc_20d,other,39.944547134935306,34.00746195228712,5.937085182648189,PROMOTED,distance from year-high <= -6.0163 AND distance from 60-day high <= -19.43 AND 60d relative strength vs sector <= -14.1806 AND close position in weekly range <= 0.7031,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",pullback_from_high|weekly_weak_close|relative_strength,ignore
FALCPAT_8545,PCBL,4,4.141,2-5%,16.564,8.282,,,,,,,,,other,ignore
FALCPAT_8366,MRPL,6,4.137,2-5%,24.821999999999996,10.133539065894006,hit_15pc_20d,breakout,48.59154929577465,15.52565995111252,33.06588934466213,PROMOTED,60-day return >= 70.2502 AND close position in weekly range >= 0.6135 AND distance from 20-week SMA >= 36.7502 AND weekly range % >= 9.6242,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_strength,ignore
FALCPAT_8545,WELSPUNLIV,3,4.134,2-5%,12.402000000000001,7.160298038489739,,,,,,,,,other,ignore
