rule_id,rule_type,feature,direction,threshold,feature2,direction2,threshold2,selected_n,fired_n,label_precision,label_lift,outcome_mean_5x,outcome_win,score
R0788,pair,ret3_pct__pct,hi,0.9,first15_ret_pct__pct,lo,0.2,34,468,0.07264957264957266,4.271304410544917,1.338742262191006,51.70940170940172,27.762574217261157
R1071,pair,ret5_pct__pct,hi,0.9,last60_vol_pct__pct,lo,0.3,70,1213,0.057708161582852434,3.3928503101074505,1.523604974390022,52.51442704039572,27.697200509421673
R2613,pair,day_volume_1m__pct,lo,0.05,turn_pct_252__pct,hi,0.8,6,91,0.06593406593406594,3.8764779524273196,3.1228307996759757,57.14285714285714,27.63295688424264
R0437,pair,down_day_streak__pct,lo,0.1,intra_range_pct__pct,hi,0.7,11,151,0.0728476821192053,4.28295190991142,2.3185602289381055,51.65562913907284,27.59420864464951
R0746,pair,ret3_pct__pct,hi,0.9,down_day_streak__pct,lo,0.2,34,452,0.0752212389380531,4.422501026847392,1.3776315440857025,51.32743362831859,27.589185133082342
R0521,pair,ret5_pct__pct,hi,0.95,last60_volume__pct,lo,0.2,14,209,0.06698564593301436,3.9383037570912323,2.046318608063148,51.196172248803826,27.45260127610559
R0880,pair,trend3_20__pct,hi,0.9,last30_volume__pct,lo,0.2,23,361,0.06371191135734072,3.7458302652033146,1.8430484554607478,50.96952908587258,27.261232049472245
R0569,pair,trend3_20__pct,hi,0.95,first60_volume__pct,lo,0.1,5,59,0.0847457627118644,4.982478724165057,2.6827885757043264,50.847457627118644,27.194968244193195
R0520,pair,ret5_pct__pct,hi,0.95,last30_volume__pct,lo,0.2,13,208,0.0625,3.67457805907173,2.2307352963377443,52.40384615384615,26.97280963735149
R0509,pair,ret5_pct__pct,hi,0.95,ret2_pct__pct,hi,0.7,74,1086,0.06813996316758748,4.006169817625165,1.2856020455703765,49.90791896869245,26.94478000302597
R2653,pair,volume__pct,lo,0.05,turn_pct_252__pct,hi,0.8,6,90,0.06666666666666667,3.9195499296765117,3.0077951252362713,56.666666666666664,26.850125981390683
R1433,pair,down_day_streak__pct,lo,0.2,last60_ret_pct__pct,lo,0.05,6,85,0.07058823529411765,4.150111690245718,2.8354163652916675,55.294117647058826,26.749722869303866
R0527,pair,ret5_pct__pct,hi,0.95,last60_ret_pct__pct,lo,0.1,24,229,0.10480349344978165,6.161737880714167,1.0082145523631325,47.161572052401745,26.508828576257685
R1103,pair,ret_std_20d__pct,hi,0.7,vol_avg20__pct,lo,0.1,27,481,0.056133056133056136,3.300244743282718,1.9773733757130407,52.80665280665281,26.439211434797
R0475,pair,ret5_pct__pct,hi,0.95,ret3_pct__pct,hi,0.7,89,1244,0.07154340836012862,4.206269418101402,1.1078807709409382,50.0,26.417416761222388
R0457,pair,down_day_streak__pct,lo,0.1,last15_ret_pct__pct,hi,0.8,6,119,0.05042016806722689,2.964365493032656,4.113427149717938,61.34453781512605,26.297641096136132
R0467,pair,ret5_pct__pct,hi,0.95,ret3_pct__pct,hi,0.8,86,1170,0.0735042735042735,4.321555050668975,1.0569841405918081,50.0,26.104120906076766
R1320,pair,trend3_20__pct,hi,0.8,vol_avg3__pct,lo,0.05,9,124,0.07258064516129033,4.267251939567171,2.0380364808789855,51.61290322580645,26.0702393309173
R1091,pair,ret5_pct__pct,hi,0.9,last60_vol_pct__pct,lo,0.2,52,883,0.05889014722536806,3.4623430862374622,1.6135749627878566,52.32163080407701,25.9744175976884
R1210,pair,ret2_pct__pct,hi,0.95,first30_ret_pct__pct,lo,0.2,18,187,0.0962566844919786,5.659243213971434,1.1130704371895463,51.33689839572193,25.89367073578189
R0485,pair,ret5_pct__pct,hi,0.95,last60_volume__pct,lo,0.1,7,94,0.07446808510638298,4.378220666128018,2.2027768540500703,51.06382978723404,25.85727821871649
R2097,pair,last60_ret_pct__pct,lo,0.05,last15_ret_pct__pct,hi,0.8,6,97,0.061855670103092786,3.6366958110400627,3.3330992462873463,47.42268041237113,25.789682864524362
