poll_ist,fn,symbol,exchange,periodicity,bars,newest_bar_ist,close,oi,volume,reply_ms,error
2026-09-23 12:16:54,GetHistory,FUTIDX_NIFTY_29SEP2026_XX_0,NFO,15minute,64,2026-09-23 12:00:00,23475.0,16169985,117260,1422,
2026-09-23 12:16:55,GetHistory,FUTSTK_RELIANCE_29SEP2026_XX_0,NFO,15minute,64,2026-09-23 12:00:00,1252.5,113185000,254000,1489,
2026-09-23 12:16:57,GetHistory,OPTIDX_BANKNIFTY_29SEP2026_CE_56200,NFO,15minute,64,2026-09-23 12:00:00,630.05,136050,15990,1198,
2026-09-23 12:16:58,GetHistory,OPTIDX_BANKNIFTY_29SEP2026_PE_56200,NFO,15minute,64,2026-09-23 12:00:00,145.05,311670,40050,1303,
2026-09-23 12:17:01,GetHistory,OPTIDX_NIFTY_29SEP2026_CE_23350,NFO,15minute,64,2026-09-23 12:00:00,197.6,2513095,3051750,3254,
2026-09-23 12:17:03,GetHistory,OPTIDX_NIFTY_29SEP2026_PE_23350,NFO,15minute,64,2026-09-23 12:00:00,67.65,7937345,4160780,1556,
2026-09-23 12:17:08,GetHistory,HDFCBANK,NSE,15minute,66,2026-09-23 12:00:00,741.4,0,553431,5016,
2026-09-23 12:17:10,GetHistory,RELIANCE,NSE,15minute,66,2026-09-23 12:00:00,1250.1,0,340908,2490,
2026-09-23 12:17:15,GetHistory,NIFTY 50,NSE_IDX,15minute,110,2026-09-23 12:00:00,23458.05,0,0,4656,
2026-09-23 12:17:20,GetHistory,NIFTY BANK,NSE_IDX,15minute,110,2026-09-23 12:00:00,56572.5,0,0,5011,
2026-09-23 12:17:23,GetHistory,NIFTY 50,NSE_IDX,1minute,174,2026-09-23 12:02:00,23443.3,0,0,3487,
2026-09-23 12:17:24,GetHistory,RELIANCE,NSE,1minute,168,2026-09-23 12:02:00,1249.6,0,10246,566,
2026-09-23 12:17:26,GetHistory,FUTIDX_NIFTY_29SEP2026_XX_0,NFO,1minute,168,2026-09-23 12:02:00,23460.8,16190720,17875,1558,
2026-09-23 12:17:28,GetHistory,OPTIDX_NIFTY_29SEP2026_CE_23350,NFO,1minute,168,2026-09-23 12:02:00,182.0,2872220,230880,2818,
2026-09-23 12:17:56,GetExchangeSnapshot,NFO,NFO,1minute,3081,2026-09-23 12:02:00,2756,659393,3081,27328,
2026-09-23 12:19:06,GetHistory,NIFTY 50,NSE_IDX,1minute,176,2026-09-23 12:04:00,23447.3,0,0,994,
2026-09-23 12:19:07,GetHistory,RELIANCE,NSE,1minute,170,2026-09-23 12:04:00,1249.8,0,9018,977,
2026-09-23 12:19:08,GetHistory,FUTIDX_NIFTY_29SEP2026_XX_0,NFO,1minute,170,2026-09-23 12:04:00,23468.0,16190460,5980,982,
2026-09-23 12:19:12,GetHistory,OPTIDX_NIFTY_29SEP2026_CE_23350,NFO,1minute,170,2026-09-23 12:04:00,188.3,2799030,235560,4146,
2026-09-23 12:19:38,GetExchangeSnapshot,NFO,NFO,1minute,3026,2026-09-23 12:04:00,2697,647572,3026,26599,
